sprint,kind,limit,collected_at,repository_rank,name_with_owner,url,stargazer_count,created_at,age_days,merged_pull_requests,releases_count,updated_at,days_since_update,primary_language,issues_total,issues_closed,closed_issues_ratio
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,27,deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,197785,2026-08-13T11:56:32Z,13.35,0,4,2026-08-26T20:07:57Z,0.01,TypeScript,0,0,
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,28,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,197634,2015-11-07T01:19:20Z,3945.79,49384,222,2026-08-26T19:41:34Z,0.02,C++,41724,40986,0.982312
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,29,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,196564,2018-03-24T07:47:04Z,3077.52,309,0,2026-08-26T20:02:46Z,0.01,JavaScript,373,238,0.63807
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,30,DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,195836,2024-05-30T13:23:00Z,818.29,0,0,2026-08-26T19:45:58Z,0.02,Markdown,0,0,
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,31,ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195115,2026-03-31T08:58:08Z,148.47,143,0,2026-08-26T20:05:32Z,0.01,Rust,2212,2195,0.992315
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,32,microsoft/vscode,https://github.com/microsoft/vscode,189624,2015-09-03T20:23:38Z,4009.99,52548,235,2026-08-26T19:55:51Z,0.01,TypeScript,251765,234032,0.929565
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,33,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,189387,2009-08-28T18:15:37Z,6207.08,3660,0,2026-08-26T19:45:51Z,0.02,Shell,5080,4927,0.969882
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,34,massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,188362,2020-01-12T23:03:34Z,2417.88,0,31,2026-08-26T19:56:04Z,0.01,Batchfile,1079,1074,0.995366
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,35,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,187132,2020-10-26T04:22:55Z,2130.66,3421,136,2026-08-26T19:54:32Z,0.01,Python,11972,9986,0.834113
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,36,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,186891,2023-03-16T09:21:07Z,1259.45,4807,118,2026-08-26T19:58:54Z,0.01,Python,3946,3654,0.926001
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,37,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,185668,2018-02-13T14:56:24Z,3116.22,374,0,2026-08-26T19:51:20Z,0.02,,579,449,0.775475
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,38,jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,185639,2018-03-01T16:05:52Z,3100.17,13,0,2026-08-26T19:40:12Z,0.02,Jupyter Notebook,737,193,0.261872
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,39,getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184740,2013-11-16T02:37:24Z,4666.73,370,0,2026-08-26T19:48:39Z,0.02,,947,947,1.0
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,40,avelino/awesome-go,https://github.com/avelino/awesome-go,182333,2014-07-06T13:42:15Z,4434.27,3888,0,2026-08-26T20:03:34Z,0.01,Go,759,736,0.969697
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,41,ollama/ollama,https://github.com/ollama/ollama,179510,2023-06-26T19:39:32Z,1157.02,3563,248,2026-08-26T19:38:36Z,0.03,Go,11072,8643,0.780618
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,42,flutter/flutter,https://github.com/flutter/flutter,178663,2015-03-06T22:54:58Z,4190.89,49835,7,2026-08-26T19:58:14Z,0.01,Dart,115322,102787,0.891304
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,43,microsoft/markitdown,https://github.com/microsoft/markitdown,176458,2024-11-13T19:56:40Z,651.01,184,20,2026-08-26T20:06:43Z,0.01,Python,583,181,0.310463
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,44,github/gitignore,https://github.com/github/gitignore,175464,2010-11-08T20:17:14Z,5770.0,1780,0,2026-08-26T19:37:10Z,0.03,,0,0,
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,45,twbs/bootstrap,https://github.com/twbs/bootstrap,174652,2011-07-29T21:19:00Z,5506.96,9503,94,2026-08-26T19:52:32Z,0.02,MDX,22943,22841,0.995554
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,46,521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,173118,2016-05-04T06:24:11Z,3766.58,17,68,2026-08-26T19:46:19Z,0.02,Python,3354,2710,0.80799
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,47,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,172745,2024-04-15T21:02:29Z,862.97,1975,35,2026-08-26T20:02:02Z,0.01,TypeScript,961,887,0.922997
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,48,anthropics/skills,https://github.com/anthropics/skills,171794,2025-09-22T15:53:31Z,338.18,51,0,2026-08-26T19:51:48Z,0.02,Python,379,50,0.131926
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,49,f/prompts.chat,https://github.com/f/prompts.chat,167961,2022-12-05T13:54:13Z,1360.26,236,0,2026-08-26T20:01:10Z,0.01,HTML,173,152,0.878613
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,50,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,164673,2022-08-22T14:05:26Z,1465.26,1875,27,2026-08-26T19:43:42Z,0.02,Python,7912,5491,0.694009
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,51,huggingface/transformers,https://github.com/huggingface/transformers,164469,2018-10-29T13:56:00Z,2858.26,20302,271,2026-08-26T19:52:20Z,0.02,Python,19380,18516,0.955418
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,52,jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,162176,2015-05-20T15:11:03Z,4116.21,317,0,2026-08-26T20:07:01Z,0.01,,264,138,0.522727
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,53,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,158051,2018-05-07T13:27:00Z,3033.28,1272,0,2026-08-26T19:01:43Z,0.05,JavaScript,1160,1143,0.985345
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,54,langflow-ai/langflow,https://github.com/langflow-ai/langflow,153715,2023-02-08T22:28:03Z,1294.91,7393,305,2026-08-26T20:07:17Z,0.01,Python,3439,3214,0.934574
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,55,langgenius/dify,https://github.com/langgenius/dify,153587,2023-04-12T07:40:24Z,1232.52,13632,169,2026-08-26T20:07:42Z,0.01,TypeScript,18730,18437,0.984357
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,56,open-webui/open-webui,https://github.com/open-webui/open-webui,150019,2023-10-06T22:08:27Z,1054.92,4127,168,2026-08-26T20:00:03Z,0.01,Python,9473,9319,0.983743
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,57,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,148324,2017-11-21T18:00:27Z,3200.09,153,52,2026-08-26T20:03:12Z,0.01,C,6152,3357,0.545676
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,58,msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,148206,2025-10-13T12:12:29Z,317.34,227,0,2026-08-26T20:07:42Z,0.01,Shell,148,88,0.594595
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,59,airbnb/javascript,https://github.com/airbnb/javascript,148136,2012-11-01T23:13:50Z,5045.88,822,0,2026-08-26T19:38:43Z,0.03,JavaScript,1416,1316,0.929379
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,60,langchain-ai/langchain,https://github.com/langchain-ai/langchain,145067,2022-10-17T02:58:36Z,1409.72,17308,1000,2026-08-26T20:07:48Z,0.01,Python,10071,9729,0.966041
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,61,x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,143150,2025-03-05T16:38:29Z,539.15,52,0,2026-08-26T19:46:36Z,0.02,,212,122,0.575472
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,62,anthropics/claude-code,https://github.com/anthropics/claude-code,143089,2025-02-22T17:41:21Z,550.11,162,199,2026-08-26T19:16:22Z,0.04,Python,87152,72820,0.835552
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,63,yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,142185,2016-07-05T05:00:48Z,3704.64,494,0,2026-08-26T20:02:21Z,0.01,TypeScript,127,92,0.724409
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,64,vercel/next.js,https://github.com/vercel/next.js,141943,2016-10-05T23:32:51Z,3611.86,28364,1000,2026-08-26T20:00:46Z,0.01,JavaScript,25269,23821,0.942697
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,65,ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,141038,2010-10-31T14:35:07Z,5778.24,1646,341,2026-08-26T19:37:28Z,0.03,Python,26832,23205,0.864826
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,66,clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,140307,2023-11-21T18:24:03Z,1009.08,1022,67,2026-08-26T20:01:49Z,0.01,TypeScript,5826,5435,0.932887
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,67,microsoft/PowerToys,https://github.com/microsoft/PowerToys,138136,2019-05-01T17:44:02Z,2674.11,7028,145,2026-08-26T20:07:28Z,0.01,C,41260,33838,0.820116
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,68,iptv-org/iptv,https://github.com/iptv-org/iptv,136785,2018-11-14T22:00:57Z,2841.93,7002,0,2026-08-26T19:21:13Z,0.04,TypeScript,35339,35282,0.998387
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,69,golang/go,https://github.com/golang/go,136469,2014-08-19T04:33:40Z,4390.65,1,0,2026-08-26T20:05:09Z,0.01,Go,73051,63453,0.868612
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,70,labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,135468,2020-02-19T09:01:23Z,2380.47,244,0,2026-08-26T19:50:05Z,0.02,Markdown,981,981,1.0
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,71,ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,135400,2015-03-18T21:06:26Z,4178.96,3100,0,2026-08-26T19:42:33Z,0.02,HTML,0,0,
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,72,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,134583,2024-04-29T05:30:25Z,849.61,243,0,2026-08-26T20:02:56Z,0.01,Python,174,167,0.95977
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,73,github/spec-kit,https://github.com/github/spec-kit,131672,2025-08-21T22:54:31Z,369.89,1449,215,2026-08-26T20:06:41Z,0.01,Python,1563,1392,0.890595
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,74,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,130572,2020-01-02T01:04:43Z,2428.8,3963,15,2026-08-26T20:04:48Z,0.01,TypeScript,4933,2652,0.537604
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,75,Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,130134,2023-01-17T03:15:56Z,1317.71,3192,154,2026-08-26T19:59:52Z,0.01,Python,9208,5059,0.549414
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,76,garrytan/gstack,https://github.com/garrytan/gstack,129836,2026-03-11T21:22:45Z,167.95,312,0,2026-08-26T20:00:04Z,0.01,TypeScript,789,491,0.622307
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,77,krahets/hello-algo,https://github.com/krahets/hello-algo,129618,2022-11-04T11:08:34Z,1391.38,996,10,2026-08-26T19:27:47Z,0.03,Java,292,278,0.952055
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,78,farion1231/cc-switch,https://github.com/farion1231/cc-switch,129564,2025-08-04T14:16:16Z,387.25,464,51,2026-08-26T19:59:46Z,0.01,Rust,4826,3208,0.664733
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,79,Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,128833,2017-11-29T17:35:03Z,3192.11,856,12,2026-08-26T19:52:51Z,0.02,JavaScript,300,300,1.0
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,80,react/react-native,https://github.com/react/react-native,126420,2015-01-09T18:10:16Z,4247.09,1003,473,2026-08-26T19:46:26Z,0.02,C++,27789,27113,0.975674
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,81,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,125782,2023-03-10T18:58:00Z,1265.05,9883,1000,2026-08-26T19:37:22Z,0.03,C++,9680,8853,0.914566
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,82,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,125201,2014-06-06T22:56:04Z,4463.89,65667,815,2026-08-26T20:00:54Z,0.01,Go,49579,47710,0.962303
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,83,electron/electron,https://github.com/electron/electron,122725,2013-04-12T01:47:36Z,4884.77,26850,1000,2026-08-26T20:04:54Z,0.01,C++,21843,21211,0.971066
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,84,shadcn-ui/ui,https://github.com/shadcn-ui/ui,122204,2023-01-04T12:43:27Z,1330.31,1460,118,2026-08-26T19:26:22Z,0.03,TypeScript,4254,3184,0.748472
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,85,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,121886,2020-09-28T15:36:08Z,2158.19,4226,39,2026-08-26T19:56:18Z,0.01,Rust,4326,4242,0.980583
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,86,nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,121298,2025-11-30T11:36:31Z,269.36,145,41,2026-08-26T20:08:12Z,0.0,Python,178,135,0.758427
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,87,nodejs/node,https://github.com/nodejs/node,119563,2014-11-26T19:57:11Z,4291.01,13343,514,2026-08-26T20:00:44Z,0.01,JavaScript,20807,20169,0.969337
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,88,Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,119093,2016-03-30T15:47:10Z,3801.19,41,0,2026-08-26T19:55:35Z,0.01,,0,0,
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,89,openai/codex,https://github.com/openai/codex,118744,2025-04-13T05:37:54Z,500.61,9993,1000,2026-08-26T20:05:50Z,0.01,Rust,24459,10661,0.435872
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,90,microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,118603,2023-06-19T16:28:59Z,1164.16,601,0,2026-08-26T20:02:11Z,0.01,Jupyter Notebook,244,244,1.0
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,91,justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,118521,2013-11-04T01:59:19Z,4678.76,300,3,2026-08-26T19:38:18Z,0.03,,0,0,
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,92,harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,116867,2024-03-11T02:57:34Z,898.72,233,18,2026-08-26T20:07:40Z,0.01,Python,787,781,0.992376
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,93,rust-lang/rust,https://github.com/rust-lang/rust,116185,2010-06-16T20:39:03Z,5914.98,73843,154,2026-08-26T19:47:36Z,0.02,Rust,63661,52388,0.822921
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,94,godotengine/godot,https://github.com/godotengine/godot,116177,2014-01-04T16:05:36Z,4617.17,43480,73,2026-08-26T20:07:47Z,0.01,C++,63453,50033,0.788505
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,95,mrdoob/three.js,https://github.com/mrdoob/three.js,114810,2010-03-23T18:58:01Z,6000.05,16050,177,2026-08-26T19:46:36Z,0.02,JavaScript,13755,13507,0.98197
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,96,2dust/v2rayN,https://github.com/2dust/v2rayN,114737,2019-07-30T03:47:24Z,2584.69,618,334,2026-08-26T19:28:14Z,0.03,C#,7152,7146,0.999161
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,97,d3/d3,https://github.com/d3/d3,113558,2010-09-27T17:22:42Z,5812.12,495,194,2026-08-26T19:57:33Z,0.01,Shell,2247,2242,0.997775
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,98,immich-app/immich,https://github.com/immich-app/immich,112719,2022-02-03T15:56:27Z,1665.18,10094,305,2026-08-26T20:05:53Z,0.01,TypeScript,9196,8708,0.946933
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,99,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,112360,2026-06-12T00:52:37Z,75.81,174,15,2026-08-26T20:06:57Z,0.01,JavaScript,277,211,0.761733
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,100,jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,111837,2016-07-17T15:33:47Z,3692.2,1252,15,2026-08-26T19:56:10Z,0.01,Swift,565,405,0.716814
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,101,Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,111005,2026-04-03T15:49:07Z,145.18,135,196,2026-08-26T20:08:27Z,0.0,Python,1488,955,0.641801
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,102,browser-use/browser-use,https://github.com/browser-use/browser-use,110858,2024-10-31T16:00:56Z,664.18,1901,135,2026-08-26T20:06:53Z,0.01,Python,1617,1505,0.930736
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,103,microsoft/TypeScript,https://github.com/microsoft/TypeScript,110713,2014-06-17T15:28:39Z,4453.2,14935,218,2026-08-26T20:05:06Z,0.01,Go,43425,38310,0.882211
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,104,VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,110638,2026-03-31T16:37:01Z,148.15,6,0,2026-08-26T20:06:33Z,0.01,,385,78,0.202597
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,105,tauri-apps/tauri,https://github.com/tauri-apps/tauri,110583,2019-07-13T09:09:37Z,2601.46,5679,0,2026-08-26T19:54:44Z,0.01,Rust,6425,5135,0.799222
Lab01S02,coleta_s02,1000,2026-08-26T20:15:18.693697+00:00,106,axios/axios,https://github.com/axios/axios,109191,2014-08-18T22:30:27Z,4390.91,1487,124,2026-08-26T15:24:40Z,0.2,JavaScript,5057,5009,0.990508
